fiscalDateEnding,totalRevenue,netIncome,ticker
31/03/2020,1381109000,-105891000,SQ
31/12/2019,1313429000,390940000,SQ
30/09/2019,1266474000,29397000,SQ
30/06/2024,6439000000,772000000,MAR
31/03/2024,5977000000,564000000,MAR
31/12/2023,6095000000,848000000,MAR
30/09/2023,5928000000,752000000,MAR
30/06/2023,6075000000,726000000,MAR
31/03/2023,5615000000,757000000,MAR
31/12/2022,5923000000,673000000,MAR
30/09/2022,5313000000,630000000,MAR
30/06/2022,5338000000,678000000,MAR
31/03/2022,4199000000,377000000,MAR
31/12/2021,4446000000,468000000,MAR
30/09/2021,3946000000,220000000,MAR
30/06/2021,3149000000,422000000,MAR
31/03/2021,2316000000,-11000000,MAR
31/12/2020,2172000000,-164000000,MAR
30/09/2020,2254000000,100000000,MAR
30/06/2020,1464000000,-234000000,MAR
31/03/2020,4681000000,31000000,MAR
31/12/2019,5371000000,279000000,MAR
30/09/2019,5284000000,387000000,MAR
30/06/2024,3251000000,880000000,LNG
31/03/2024,4253000000,502000000,LNG
31/12/2023,4823000000,1377000000,LNG
30/09/2023,4159000000,1701000000,LNG
30/06/2023,4102000000,1369000000,LNG
31/03/2023,7310000000,5434000000,LNG
31/12/2022,9085000000,3937000000,LNG
30/09/2022,8852000000,-2385000000,LNG
30/06/2022,8007000000,741000000,LNG
31/03/2022,7484000000,-865000000,LNG
31/12/2021,6557000000,-1323000000,LNG
30/09/2021,3200000000,-1084000000,LNG
30/06/2021,3017000000,-329000000,LNG
31/03/2021,3090000000,393000000,LNG
31/12/2020,2787000000,-194000000,LNG
30/09/2020,1460000000,-463000000,LNG
30/06/2020,2402000000,197000000,LNG
31/03/2020,2709000000,375000000,LNG
31/12/2019,3007000000,939000000,LNG
30/09/2019,2170000000,-318000000,LNG
30/06/2024,6174000000,493000000,SUN
31/03/2024,5499000000,230000000,SUN
31/12/2023,5641000000,-106000000,SUN
30/09/2023,6320000000,272000000,SUN
30/06/2023,5745000000,87000000,SUN
31/03/2023,5362000000,141000000,SUN
31/12/2022,5918000000,55000000,SUN
30/09/2022,6594000000,83000000,SUN
30/06/2022,7815000000,121000000,SUN
31/03/2022,5402000000,216000000,SUN
31/12/2021,4954000000,100000000,SUN
30/09/2021,4779000000,104000000,SUN
30/06/2021,4392000000,166000000,SUN
31/03/2021,3471000000,154000000,SUN
31/12/2020,2553000000,83000000,SUN
30/09/2020,2805000000,100000000,SUN
30/06/2020,2080000000,157000000,SUN
31/03/2020,3272000000,-128000000,SUN
31/12/2019,4098000000,83000000,SUN
30/09/2019,4331000000,66000000,SUN
30/06/2024,6148000000,1067000000,HTHT
31/03/2024,5584000000,743000000,HTHT
31/12/2023,5278000000,659000000,HTHT
30/09/2023,6288000000,1337000000,HTHT
30/06/2023,5530000000,1015000000,HTHT
31/03/2023,3706000000,-130000000,HTHT
31/12/2022,4093000000,-690000000,HTHT
30/09/2022,4093000000,-690000000,HTHT
30/06/2022,3382000000,-377000000,HTHT
31/03/2022,3350000000,-459000000,HTHT
31/12/2021,2681000000,-616000000,HTHT
30/09/2021,3523000000,-137000000,HTHT
30/06/2021,3587000000,378000000,HTHT
31/03/2021,3071000000,703000000,HTHT
31/12/2020,3071000000,703000000,HTHT
30/09/2020,3158000000,-212000000,HTHT
30/06/2020,1953000000,-548000000,HTHT
31/03/2020,2910000000,619000000,HTHT
31/12/2019,2910000000,619000000,HTHT
30/09/2019,3055000000,431000000,HTHT
30/06/2024,12933000000,250000000,PAA
31/03/2024,11995000000,266000000,PAA
31/12/2023,12698000000,312000000,PAA
30/09/2023,12071000000,203000000,PAA
30/06/2023,11602000000,293000000,PAA
31/03/2023,12341000000,422000000,PAA
31/12/2022,12952000000,263000000,PAA
30/09/2022,14336000000,384000000,PAA
30/06/2022,16359000000,203000000,PAA
31/03/2022,13694000000,187000000,PAA
31/12/2021,12989000000,450000000,PAA
30/09/2021,10776000000,-59000000,PAA
30/06/2021,9930000000,-220000000,PAA
31/03/2021,8383000000,422000000,PAA
31/12/2020,5963000000,-28000000,PAA
30/09/2020,5833000000,143000000,PAA
30/06/2020,3225000000,142000000,PAA
31/03/2020,8269000000,-2847000000,PAA
31/12/2019,9154000000,306000000,PAA
30/09/2019,7886000000,449000000,PAA
30/06/2024,12933000000,39000000,PAGP
31/03/2024,11995000000,42000000,PAGP
31/12/2023,12698000000,52000000,PAGP
30/09/2023,12071000000,29000000,PAGP
30/06/2023,11602000000,48000000,PAGP
31/03/2023,12341000000,69000000,PAGP
31/12/2022,12952000000,44000000,PAGP
30/09/2022,14336000000,71000000,PAGP
30/06/2022,16359000000,31000000,PAGP
31/03/2022,13694000000,22000000,PAGP
31/12/2021,12989000000,84000000,PAGP
30/09/2021,10776000000,-24000000,PAGP
30/06/2021,9930000000,-69000000,PAGP
31/03/2021,8383000000,70000000,PAGP
31/12/2020,5963000000,-20000000,PAGP
30/09/2020,5833000000,17000000,PAGP
30/06/2020,3225000000,16000000,PAGP
31/03/2020,8269000000,-581000000,PAGP
31/12/2019,9154000000,48000000,PAGP
30/09/2019,7886000000,70000000,PAGP
30/06/2024,7394010000,3673567000,ASR
31/03/2024,7434907000,3082091000,ASR
31/12/2023,6876941000,2537108000,ASR
30/09/2023,6338851000,2709532000,ASR
30/06/2023,6156443000,2444711000,ASR
31/03/2023,7273564000,2561220000,ASR
31/12/2022,7273564000,2561220000,ASR
30/09/2022,6294804000,2546504000,ASR
30/06/2022,6319709000,2661548000,ASR
31/03/2022,6789564000,2013123000,ASR
31/12/2021,6789564000,2013123000,ASR
30/09/2021,4866106000,1793950000,ASR
30/06/2021,4229281000,1231659000,ASR
31/03/2021,4253658000,503077000,ASR
31/12/2020,4253658000,503077000,ASR
30/09/2020,2447072000,105155000,ASR
30/06/2020,4069379000,1426741000,ASR
31/03/2020,4544643000,1256005000,ASR
31/12/2019,4544643000,1256005000,ASR
30/09/2019,4106266000,1314628000,ASR
30/06/2024,7323000000,-77000000,CPNG
31/03/2024,7087000000,5000000,CPNG
31/12/2023,6547412000,1032653000,CPNG
30/09/2023,6170260000,91300000,CPNG
30/06/2023,5825076000,145000000,CPNG
31/03/2023,5792252000,91000000,CPNG
31/12/2022,5328830000,102064000,CPNG
