Ticker,Oldest Date,Oldest Revenue,Newest Date,Newest Revenue,%Change Revenue,Revenue Slope,Revenue R²,Revenue-Income Correlation,Correlation-Adjusted R²,dividendYield,targetMeanPrice,trailingPE,pegRatio,trailingPegRatio,exDividendDate
ALKT,2023-06-30,65763000.0,2024-09-30,85906000.0,0.30629685385399086,46456.85238780255,0.9790810669104616,0.888923411865858,0.8703280824913119,,,,,,
MRCC,2023-06-30,-3021000.0,2024-06-30,4485000.0,-2.484607745779543,20102.958319796664,0.8691306014337303,0.9991208301402942,0.8683664880048018,,,,,,
RGLD,2023-09-30,138617000.0,2024-09-30,193837000.0,0.398363837047404,144306.79913813743,0.885490519965527,0.9710560554999449,0.8598609315003198,,,,,,
NVO,2019-09-30,30277000000.0,2024-09-30,71311000000.0,1.3552861908379297,23712081.923996706,0.9024303221281744,0.9512118540695883,0.8584024198801566,0.0135,142.43,35.03268,80.41,1.5883,2024-08-16
ON,2023-09-30,2180800000.0,2024-09-30,1761900000.0,-0.19208547322083638,-1225791.2377304286,0.8983400946627331,0.9548054058185415,0.8577399786475178,,,,,,
GOOGL,2018-12-31,39276000000.0,2024-09-30,88268000000.0,1.247377533353702,26016521.39543922,0.9346492611007066,0.9151987315137916,0.8553898181696693,0.0045,206.78,23.653847,1.03,1.1083,2024-12-09
AROC,2023-06-30,247543000.0,2024-06-30,270526000.0,0.09284447550526576,66769.71496550538,0.9767595139338185,0.8751708036939385,0.8548314088251607,,,,,,
BWAY,2023-06-30,7829000.0,2024-06-30,10005000.0,0.2779409886320092,5623.184493664839,0.9561287752443509,0.8937066041418675,0.8544986008459518,,,,,,
SKWD,2023-06-30,212625000.0,2024-09-30,302032000.0,0.4204914756025867,179910.43878253057,0.9809029658349663,0.8700272937243851,0.8534123527716188,,,,,,
MRTN,2023-06-30,285672000.0,2024-06-30,246238000.0,-0.13803942983561568,-118820.95763181531,0.9592481998005319,0.8886736523860577,0.8524586012614894,,,,,,
NFLX,2018-12-31,4186841000.0,2024-09-30,9824703000.0,1.34656701794981,2436362.8688854314,0.9670832154723006,0.8766647964771226,0.8478078102684656,,764.34,44.84151,1.52,1.6202,-
IDR,2023-06-30,3236515.0,2024-09-30,6153287.0,0.9012076261040038,7856.602143592252,0.8602343843623194,0.9842332325636332,0.8466712688833125,,,,,,
ARGX,2023-06-30,270550000.0,2024-09-30,573236000.0,1.1187802624283867,609293.3127882052,0.9513488828420051,0.8884515206885222,0.8452273616663062,,,,,,
MCO,2023-06-30,1494000000.0,2024-09-30,1813000000.0,0.21352074966532797,869857.5005134867,0.8689452845852029,0.9716752617145182,0.8443326368149235,0.0070999996,498.12,43.65782,2.31,2.4923,2024-11-22
