Ticker,Oldest Date,Oldest Revenue,Newest Date,Newest Revenue,%Change Revenue,Revenue Slope,Revenue R²,Revenue-Income Correlation,Correlation-Adjusted R²,dividendYield,targetMeanPrice,trailingPE,pegRatio,trailingPegRatio,exDividendDate
XOM,2019-12-31,67173000000.0,2024-06-30,89986000000.0,0.3396156193708782,28217216.12354837,0.4426049629983489,0.834921208575211,0.369540270627968,0.0304,130.47,14.931819,2.88,6.1934,2024-08-15
PG,2018-12-31,17438000000.0,2024-06-30,20532000000.0,0.1774286041977291,2177300.514876536,0.76346314715456,0.45847758648572684,0.35003074107821996,0.0238,178.07,28.099833,3.78,3.4554,2024-07-19
ELV,2019-09-30,26674000000.0,2024-06-30,43646000000.0,0.6362750243682987,10380362.988057632,0.9667554282124714,0.3564478342797143,0.34459787866449326,0.013300001,602.6,17.241415,1.11,0.7272,2024-09-10
LLY,2019-12-31,6114000000.0,2024-06-30,11302800000.0,0.848675171736997,2517371.1946882703,0.7455734444847353,0.4168719773346368,0.3108086760505477,0.0058999998,1003.35,108.72059,0.74,0.8312,2024-08-15
APO,2019-09-30,674890000.0,2024-06-30,6018000000.0,7.917008697713701,5057967.556778006,0.5326740325508773,0.5777054555744427,0.3077286946474801,0.0137,136.94,14.6144705,1.25,,2024-08-16
AAPL,2018-12-31,83420000000.0,2024-06-30,85777000000.0,0.0282546152001918,16817898.707958084,0.2907459659668845,0.9916012385890924,0.2883040599675448,0.0044,240.58,34.468086,3.04,2.176,2024-08-12
KKR,2019-09-30,790485000.0,2024-06-30,4108021000.0,4.196836119597462,2661801.167606975,0.3939104408567563,0.5331624742474063,0.21001826527907477,0.0053,139.99,31.58294,0.94,0.9153,2024-08-12
CRH,2019-09-30,7643000000.0,2024-06-30,9654000000.0,0.2631165772602381,996059.4990371959,0.21030026727549817,0.8514308522664955,0.1790561357982492,0.015700001,102.58,18.564583,1.26,1.7977,2024-08-23
JPM,2018-12-31,32110000000.0,2024-06-30,50058000000.0,0.5589535970102771,5210359.219800686,0.3758200522413659,0.4732053992033107,0.1778400778494846,0.023699999,214.91,11.780256,6.73,4.2034,2024-10-04
CBRE,2019-12-31,7119407000.0,2024-06-30,8391000000.0,0.17860939822656577,1610519.3307993547,0.6358054836705991,0.27141060327207295,0.17256434988672942,0.0172,121.75,40.686867,2.32,1.2194,2024-04-19
BAC,2018-12-31,22677000000.0,2024-06-30,25377000000.0,0.11906336817039291,1561139.6717724882,0.3503953824030813,0.3860186038293145,0.13525913630347622,0.025899999,45.61,14.073685,1.23,1.8265,2024-09-06
GEV,2023-03-31,6822000000.0,2024-06-30,8204000000.0,0.20257988859571974,1387821.0310959877,0.20191647701863,0.6550013810192863,0.13225557129775162,,245.99,67.068184,3.89,2.0632,-
AVGO,2019-02-03,5789000000.0,2024-07-31,13072000000.0,1.2580756607358783,3659649.746285958,0.8794280154784394,0.11619686003623735,0.10218677402649419,0.012,192.71,142.45161,1.79,1.2384,2024-09-19
HWM,2019-09-30,3559000000.0,2024-06-30,1880000000.0,-0.47176173082326495,-483278.3806698899,0.11107135281142515,0.5478679150803522,0.060852430489949705,0.0031,103.35,45.346664,1.34,,2024-11-08
BLK,2019-12-31,3977000000.0,2024-06-30,4805000000.0,0.20819713351772692,-2494220.2944938624,0.05606661521683498,0.21687351428962579,0.012159363876399211,0.0215,955.94,23.582361,1.8,2.4914,2024-09-09
PEP,2018-12-31,19524000000.0,2024-06-30,22501000000.0,0.15247900020487604,3713131.6118707964,0.37607564507392993,0.028240537452564392,0.010620578339707632,0.0323,182.98,24.37881,3.13,1.9153,2024-09-06
ASTS,2019-12-31,660000.0,2024-06-30,900000.0,0.36363636363636365,-419.6910663455278,0.010938512850438497,0.35536373819478884,0.003887150816823559,,37.98,,0.48,,-
BX,2019-09-30,1735113000.0,2024-06-30,2293144000.0,0.32161075388173566,13031.411874067679,1.1629137042501721e-05,0.9598610043450075,1.1162355161281433e-05,0.0223,141.32,58.206898,1.41,1.8659,2024-07-29
CL,2019-09-30,3928000000.0,2024-06-30,5058000000.0,0.2876782077393075,655597.9454676,0.9469209660357129,-0.008235412154245463,-0.007798284432800365,0.0202,107.15,28.874636,3.17,2.2566,2024-10-18
SOLV,2022-06-30,2058000000.0,2024-06-30,2081000000.0,0.011175898931000973,55241.53859151431,0.1743132473341516,-0.586070787833135,-0.10215990219487836,,63.25,28.948719,,,-
CSGP,2019-12-31,374726000.0,2024-06-30,677800000.0,0.8087882879757476,184808.7526224156,0.9924616488473683,-0.11342159885755733,-0.11256658701707613,,94.64,142.5,8.11,2.4985,-
RKLB,2020-03-31,1420000.0,2024-06-30,106251000.0,73.82464788732395,60774.64601805147,0.8859251796597523,-0.37035222176842714,-0.32810435860758225,,7.72,,0.57,,-
