fiscalDateEnding,totalRevenue,netIncome,ticker
2019-12-31,33201000.0,4607000,CAMT
2019-09-30,32470000.0,4163000,CAMT
2024-06-30,187189000.0,24119000,YOU
2024-03-31,179406000.0,18806000,YOU
2023-12-31,171312000.0,13975000,YOU
2023-09-30,160831000.0,15346000,YOU
2023-06-30,150315000.0,4011000,YOU
2023-03-31,132246000.0,-5224000,YOU
2022-12-31,128411000.0,-11327000,YOU
2022-09-30,115919000.0,-36764000,YOU
2022-06-30,102723000.0,-7155000,YOU
2022-03-31,90341000.0,-10327000,YOU
2021-12-31,80859000.0,-51408000,YOU
2021-09-30,67558000.0,-16915000,YOU
2021-06-30,55178000.0,-2004000,YOU
2024-06-30,117770000.0,16818000,ASPN
2024-03-31,93401000.0,-1835000,ASPN
2023-12-31,84219000.0,-508000,ASPN
2023-09-30,60755000.0,-13073000,ASPN
2023-06-30,48158000.0,-15423000,ASPN
2023-03-31,45586000.0,-16796000,ASPN
2022-12-31,58604000.0,-9571000,ASPN
2022-09-30,34972000.0,-29595000,ASPN
2022-06-30,44090000.0,-24050000,ASPN
2022-03-31,36788000.0,-19484000,ASPN
2021-12-31,31293000.0,-16353000,ASPN
2021-09-30,34114000.0,-7822000,ASPN
2021-06-30,31670000.0,-6669000,ASPN
2021-03-31,28094000.0,-6250000,ASPN
2020-12-31,23018000.0,-6189000,ASPN
2020-09-30,24195000.0,-6753000,ASPN
2020-06-30,24641000.0,-5698000,ASPN
2020-03-31,28419000.0,-3169000,ASPN
2019-12-31,46505000.0,-956000,ASPN
2019-09-30,35425000.0,-2289000,ASPN
2024-03-31,252009000.0,24099000,IPGP
2023-12-31,298893000.0,41428000,IPGP
2023-09-30,301401000.0,54994000,IPGP
2023-06-30,339971000.0,62321000,IPGP
2023-03-31,347174000.0,60135000,IPGP
2022-12-31,333539000.0,-92895000,IPGP
2022-09-30,349006000.0,76264000,IPGP
2022-06-30,377023000.0,56968000,IPGP
2022-03-31,369979000.0,69572000,IPGP
2021-12-31,364467000.0,65087000,IPGP
2021-09-30,379150000.0,75402000,IPGP
2021-06-30,371658000.0,69800000,IPGP
2021-03-31,345585000.0,68127000,IPGP
2020-12-31,336630000.0,49339000,IPGP
2020-09-30,318441000.0,35604000,IPGP
2020-06-30,296411000.0,38226000,IPGP
2020-03-31,249242000.0,36403000,IPGP
2019-12-31,306627000.0,-4450000,IPGP
2019-09-30,329138000.0,57253000,IPGP
2024-06-30,339771000.0,-16050000,CCRN
2024-03-31,378712000.0,2692000,CCRN
2023-12-31,414035000.0,9038000,CCRN
2023-09-30,441622000.0,12812000,CCRN
2023-06-30,535823000.0,21345000,CCRN
2023-03-31,619017000.0,29436000,CCRN
2022-12-31,626418000.0,38791000,CCRN
2022-09-30,632600000.0,34793000,CCRN
2022-06-30,747792000.0,52894000,CCRN
2022-03-31,785211000.0,61983000,CCRN
2021-12-31,640679000.0,77573000,CCRN
2021-09-30,372723000.0,23433000,CCRN
2021-06-30,330631000.0,11548000,CCRN
2021-03-31,328570000.0,19448000,CCRN
2020-12-31,215606000.0,4612000,CCRN
2020-09-30,193968000.0,-1334000,CCRN
2020-06-30,216779000.0,-14151000,CCRN
2020-03-31,210064000.0,-2089000,CCRN
2019-12-31,216596000.0,-1144000,CCRN
2019-09-30,209200000.0,-3128000,CCRN
2024-03-31,1772000000.0,243000000,HWM
2023-12-31,1700000000.0,236000000,HWM
2023-09-30,1593000000.0,188000000,HWM
2023-06-30,1593000000.0,193000000,HWM
2023-03-31,1547000000.0,148000000,HWM
2022-12-31,1450000000.0,111000000,HWM
2022-09-30,1379000000.0,80000000,HWM
2022-06-30,1335000000.0,147000000,HWM
2022-03-31,1269000000.0,131000000,HWM
2021-12-31,1221000000.0,77000000,HWM
2021-09-30,1104000000.0,27000000,HWM
2021-06-30,1105000000.0,74000000,HWM
2021-03-31,1135000000.0,80000000,HWM
2020-12-31,1238000000.0,106000000,HWM
2020-09-30,1062000000.0,36000000,HWM
2020-06-30,1116000000.0,-96000000,HWM
2020-03-31,3107000000.0,215000000,HWM
2019-12-31,3401000000.0,309000000,HWM
2019-09-30,3559000000.0,95000000,HWM
2024-06-30,1241300000.0,129300000,MCHP
2024-03-31,1325800000.0,154700000,MCHP
2023-12-31,1765700000.0,419200000,MCHP
2023-09-30,2254300000.0,666600000,MCHP
2023-06-30,2288600000.0,666400000,MCHP
2023-03-31,2232700000.0,604000000,MCHP
2022-12-31,2169200000.0,580300000,MCHP
2022-09-30,2073200000.0,546200000,MCHP
2022-06-30,1963600000.0,507200000,MCHP
2022-03-31,1844200000.0,437900000,MCHP
2021-12-31,1757500000.0,352800000,MCHP
2021-09-30,1649800000.0,242000000,MCHP
2021-06-30,1569400000.0,252800000,MCHP
2021-03-31,1467100000.0,116000000,MCHP
2020-12-31,1352100000.0,36200000,MCHP
2020-09-30,1309500000.0,73600000,MCHP
2020-06-30,1309700000.0,123600000,MCHP
2020-03-31,1326400000.0,99900000,MCHP
2019-12-31,1287400000.0,311100000,MCHP
2019-09-30,1337800000.0,108900000,MCHP
2024-06-30,199685000.0,-37657000,APLS
2024-03-31,172325000.0,-66423000,APLS
2023-12-31,148767000.0,-88576000,APLS
2023-09-30,109502000.0,-140237000,APLS
2023-06-30,94073000.0,-122037000,APLS
2023-03-31,44846000.0,-177778000,APLS
2022-12-31,22663000.0,-165991000,APLS
2022-09-30,22056000.0,-191269000,APLS
2022-06-30,16322000.0,-155977000,APLS
2022-03-31,14381000.0,-138935000,APLS
2021-12-31,60290000.0,-147933000,APLS
2021-09-30,5650000.0,-195571000,APLS
2021-06-30,623000.0,-219191000,APLS
2021-03-31,0.0,-183659000,APLS
2020-12-31,250000000.0,78265000,APLS
2020-09-30,646000.0,-135700000,APLS
2020-06-30,,-118617000,APLS
2020-03-31,,-168822000,APLS
2019-12-31,233686.0,-113218000,APLS
2019-09-30,,-69825000,APLS
2024-06-30,30217000.0,10487000,ESQ
2024-03-31,28998000.0,10058000,ESQ
2023-12-31,28016000.0,9882000,ESQ
2023-09-30,27672000.0,9837000,ESQ
2023-06-30,25459000.0,9113000,ESQ
2023-03-31,29051000.0,12179000,ESQ
2022-12-31,23772000.0,9114000,ESQ
2022-09-30,21329000.0,7711000,ESQ
2022-06-30,19032000.0,6351000,ESQ
2022-03-31,16648000.0,5342000,ESQ
2021-12-31,16313000.0,6730000,ESQ
2021-09-30,12458000.0,2519000,ESQ
2021-06-30,15284000.0,4502000,ESQ
2021-03-31,13717000.0,4174000,ESQ
2020-12-31,13021000.0,3882000,ESQ
2020-09-30,12191000.0,3606000,ESQ
2020-06-30,10227000.0,2533000,ESQ
2020-03-31,10400000.0,2597000,ESQ
2019-12-31,11416000.0,3873000,ESQ
2019-09-30,11797000.0,3817000,ESQ
2024-06-30,11823000.0,3496000,OPHC
2024-03-31,9392000.0,2377000,OPHC
2023-12-31,8513000.0,2549000,OPHC
2023-09-30,6118000.0,1269000,OPHC
2023-06-30,6415000.0,1312000,OPHC
2023-03-31,5717000.0,1153000,OPHC
2022-12-31,5758000.0,1550000,OPHC
2022-09-30,3964000.0,673000,OPHC
2022-06-30,3628000.0,945000,OPHC
2022-03-31,3522000.0,855000,OPHC
2021-12-31,3810000.0,4587000,OPHC
2021-09-30,2634000.0,917000,OPHC
2021-06-30,1987000.0,444000,OPHC
2021-03-31,1913000.0,348000,OPHC
2020-12-31,1988000.0,369000,OPHC
2020-09-30,932000.0,-496000,OPHC
2020-06-30,676000.0,-347000,OPHC
2020-03-31,924000.0,-308000,OPHC
2019-12-31,1148000.0,-244000,OPHC
2019-09-30,783000.0,-280000,OPHC
2024-06-30,4009110000.0,1020282000,LRCX
2024-03-31,3742061000.0,965826000,LRCX
2023-12-31,3711378000.0,954266000,LRCX
2023-09-30,3438000000.0,887398000,LRCX
2023-06-30,3162459000.0,802537000,LRCX
2023-03-31,3816833000.0,814008000,LRCX
2022-12-31,5220794000.0,1468507000,LRCX
2022-09-30,5034890000.0,1425879000,LRCX
2022-06-30,4586946000.0,1208934000,LRCX
2022-03-31,4014649000.0,1021778000,LRCX
2021-12-31,4180570000.0,1194830000,LRCX
2021-09-30,4259392000.0,1179744000,LRCX
2021-06-30,4091119000.0,1144657000,LRCX
2021-03-31,3795959000.0,1071121000,LRCX
2020-12-31,3399923000.0,869229000,LRCX
2020-09-30,3123590000.0,823451000,LRCX
2020-06-30,2741633000.0,696673000,LRCX
2020-03-31,2462525000.0,574781000,LRCX
2019-12-31,2538599000.0,514510000,LRCX
2019-09-30,2121222000.0,465789000,LRCX
2024-06-30,206245000.0,54076000,HCI
2024-03-31,206614000.0,47611000,HCI
2023-12-31,162670000.0,38096000,HCI
2023-09-30,131644000.0,13157000,HCI
2023-06-30,127327000.0,12443000,HCI
