fiscalDateEnding,totalRevenue,netIncome,ticker
2024-06-30,5835000000.0,265000000,AMD
2024-03-31,5473000000.0,123000000,AMD
2023-12-31,6452000000.0,667000000,AMD
2023-09-30,5774000000.0,299000000,AMD
2023-06-30,5331000000.0,27000000,AMD
2023-03-31,5353000000.0,-139000000,AMD
2022-12-31,5732000000.0,21000000,AMD
2022-09-30,5534000000.0,66000000,AMD
2022-06-30,6525000000.0,447000000,AMD
2022-03-31,5859000000.0,786000000,AMD
2021-12-31,4845000000.0,974000000,AMD
2021-09-30,4306000000.0,923000000,AMD
2021-06-30,3840000000.0,710000000,AMD
2021-03-31,3422000000.0,555000000,AMD
2020-12-31,3235000000.0,1781000000,AMD
2020-09-30,2790000000.0,390000000,AMD
2020-06-30,1918000000.0,157000000,AMD
2020-03-31,1755000000.0,162000000,AMD
2019-12-31,2109000000.0,170000000,AMD
2024-09-30,63694000000.0,739000000,CI
2024-06-30,60523000000.0,1548000000,CI
2024-03-31,57255000000.0,-277000000,CI
2023-12-31,51114000000.0,-504000000,CI
2023-09-30,49048000000.0,1408000000,CI
2023-06-30,48586000000.0,1460000000,CI
2023-03-31,46517000000.0,1267000000,CI
2022-12-31,45751000000.0,1169000000,CI
2022-09-30,45281000000.0,2757000000,CI
2022-06-30,45478000000.0,1559000000,CI
2022-03-31,44006000000.0,1183000000,CI
2021-12-31,45688000000.0,-336000000,CI
2021-09-30,44288000000.0,1621000000,CI
2021-06-30,43131000000.0,1467000000,CI
2021-03-31,40971000000.0,1161000000,CI
2020-12-31,41712000000.0,4135000000,CI
2020-09-30,40955000000.0,1388000000,CI
2020-06-30,39265000000.0,1754000000,CI
2020-04-30,,-199000000,CI
2020-03-31,38469000000.0,1181000000,CI
2019-12-31,38245000000.0,1261000000,CI
2024-06-30,243236000000.0,24390000000,BABA
2024-03-31,243236000000.0,24390000000,BABA
2023-12-31,221874000000.0,3365000000,BABA
2023-09-30,260348000000.0,14555000000,BABA
2023-06-30,234156000000.0,34242000000,BABA
2023-03-31,208200000000.0,23644000000,BABA
2022-12-31,247756000000.0,46913000000,BABA
2022-09-30,207176000000.0,-20433000000,BABA
