Ticker,Oldest Revenue Year,Oldest Revenue,Most Recent Revenue Year,Most Recent Revenue,Percent Change
FTS,2020,8935000000.0,2023,11517000000.0,28.90%
IFF,2020,5084000000.0,2023,11479000000.0,125.79%
MNSO,2020,8978986000.0,2023,11473208000.0,27.78%
STNE,2020,3179136000.0,2023,11364024000.0,257.46%
AAP,2020,10106321000.0,2023,11287607000.0,11.69%
YUMC,2020,8263000000.0,2023,10978000000.0,32.86%
CE,2020,5655000000.0,2023,10940000000.0,93.46%
QRTEA,2020,14177000000.0,2023,10915000000.0,-23.01%
QRTEB,2020,14177000000.0,2023,10915000000.0,-23.01%
DAN,2020,7106000000.0,2023,10555000000.0,48.54%
DADA,2020,5739989000.0,2023,10506250000.0,83.04%
LVS,2020,2940000000.0,2023,10372000000.0,252.79%
CHWY,2021,7146264000.0,2023,10119000000.0,41.60%
GDS,2020,5738972000.0,2023,9956501000.0,73.49%
ABNB,2020,3378199000.0,2023,9917000000.0,193.56%
BIIB,2020,13444600000.0,2023,9835600000.0,-26.84%
FIS,2020,12552000000.0,2023,9821000000.0,-21.76%
GXO,2020,6195000000.0,2023,9778000000.0,57.84%
GPN,2020,7423558000.0,2023,9654419000.0,30.05%
ALK,2019,8781000000.0,2022,9646000000.0,9.85%
JBLU,2020,2957000000.0,2023,9615000000.0,225.16%
SEB,2020,7126000000.0,2023,9562000000.0,34.18%
CWK,2020,7843700000.0,2023,9493700000.0,21.04%
ARKO,2020,4010232000.0,2023,9412731000.0,134.72%
HTZ,2020,5258000000.0,2023,9371000000.0,78.22%
LVRO,2020,2706281000.0,2023,9347413000.0,245.40%
CVI,2020,3930000000.0,2023,9247000000.0,135.29%
ATUS,2020,9894642000.0,2023,9237064000.0,-6.65%
PAGS,2020,4508719000.0,2023,9027242000.0,100.22%
PVH,2021,7132600000.0,2023,9024200000.0,26.52%
SIRI,2020,8040000000.0,2023,8953000000.0,11.36%
LSXMA,2020,8040000000.0,2023,8953000000.0,11.36%
LSXMK,2020,8040000000.0,2023,8953000000.0,11.36%
LSXMB,2020,8040000000.0,2023,8953000000.0,11.36%
PII,2020,7027900000.0,2023,8934400000.0,27.13%
UGI,2020,6559000000.0,2023,8928000000.0,36.12%
BTSG,2020,5580372000.0,2023,8826175000.0,58.16%
BZUN,2020,8851563000.0,2023,8812013000.0,-0.45%
FL,2021,7554000000.0,2023,8759000000.0,15.95%
BHC,2020,8027000000.0,2023,8757000000.0,9.09%
ZKH,2020,4686368000.0,2023,8721175000.0,86.10%
CNP,2020,7418000000.0,2023,8696000000.0,17.23%
NGL,2021,5227023000.0,2023,8694904000.0,66.35%
DASH,2020,2886000000.0,2023,8635000000.0,199.20%
NOV,2020,6090000000.0,2023,8583000000.0,40.94%
NCLH,2020,1279908000.0,2023,8549924000.0,568.01%
YMM,2020,2580820000.0,2023,8436159000.0,226.88%
FITBI,2020,7243000000.0,2023,8410000000.0,16.11%
BEST,2020,10528234000.0,2023,8315844000.0,-21.01%
AGR,2020,6320000000.0,2023,8309000000.0,31.47%
APA,2020,4435000000.0,2023,8279000000.0,86.67%
DOLE,2020,4345939000.0,2023,8245268000.0,89.72%
SOLV,2020,7281000000.0,2023,8241000000.0,13.19%
PARR,2020,3124870000.0,2023,8231955000.0,163.43%
NWL,2020,9385000000.0,2023,8133000000.0,-13.34%
BEN,2020,5566500000.0,2023,7849400000.0,41.01%
BBUC,2020,9606000000.0,2023,7683000000.0,-20.02%
CSIQ,2020,3476495000.0,2023,7613626000.0,119.00%
ICL,2020,5043000000.0,2023,7536000000.0,49.43%
LBTYB,2020,11545400000.0,2023,7491400000.0,-35.11%
LBTYK,2020,11545400000.0,2023,7491400000.0,-35.11%
LBTYA,2020,11545400000.0,2023,7491400000.0,-35.11%
VNET,2020,4829019000.0,2023,7412930000.0,53.51%
ZBH,2020,6127500000.0,2023,7394200000.0,20.67%
GFS,2020,4851000000.0,2023,7392000000.0,52.38%
CLX,2021,7341000000.0,2023,7389000000.0,0.65%
HBAN,2020,4815000000.0,2023,7360000000.0,52.86%
ATHM,2020,8658559000.0,2023,7184135000.0,-17.03%
CNXC,2020,4719534000.0,2023,7114706000.0,50.75%
OI,2020,6091000000.0,2023,7105000000.0,16.65%
KC,2020,6577307000.0,2023,7047461000.0,7.15%
QSR,2020,4968000000.0,2023,7022000000.0,41.34%
HUYA,2020,10914374000.0,2023,6994328000.0,-35.92%
CCI,2020,5840000000.0,2023,6981000000.0,19.54%
OPEN,2020,2583000000.0,2023,6946000000.0,168.91%
XRX,2020,7022000000.0,2023,6886000000.0,-1.94%
SON,2020,5237443000.0,2023,6781292000.0,29.48%
NTRS,2020,6100800000.0,2023,6773500000.0,11.03%
MKC,2020,5601300000.0,2023,6662200000.0,18.94%
GRFS,2020,5340038000.0,2023,6591977000.0,23.44%
XP,2020,5016488000.0,2023,6532005000.0,30.21%
WYNN,2020,2095861000.0,2023,6531897000.0,211.66%
NSP,2020,4287004000.0,2023,6485871000.0,51.29%
TROW,2020,6206700000.0,2023,6460500000.0,4.09%
RHI,2020,5109000000.0,2023,6392517000.0,25.12%
PENN,2020,3578700000.0,2023,6362900000.0,77.80%
VSCO,2021,5413000000.0,2023,6344000000.0,17.20%
OGN,2020,6532000000.0,2023,6263000000.0,-4.12%
KEY,2020,6490000000.0,2023,6215000000.0,-4.24%
LEVI,2020,4452609000.0,2023,6179000000.0,38.77%
HUN,2020,6018000000.0,2023,6111000000.0,1.55%
IFS,2020,5473713000.0,2023,6101901000.0,11.48%
AXL,2020,4710800000.0,2023,6079500000.0,29.05%
SPR,2020,3404800000.0,2023,6047900000.0,77.63%
WMG,2020,4463000000.0,2023,6037000000.0,35.27%
WOOF,2021,4920202000.0,2023,6035967000.0,22.68%
EW,2020,4386300000.0,2023,6004800000.0,36.90%
FAF,2020,7080000000.0,2023,5998100000.0,-15.28%
THG,2020,4808100000.0,2023,5963500000.0,24.03%
EDR,2020,3478743000.0,2023,5960157000.0,71.33%
BZ,2020,1944359000.0,2023,5952028000.0,206.12%
UA,2020,4474667000.0,2023,5903165000.0,31.92%
UAA,2020,4474667000.0,2023,5903165000.0,31.92%
OSCR,2020,589641000.0,2023,5861867000.0,894.14%
HOG,2020,4054377000.0,2023,5836478000.0,43.95%
COMM,2020,8435900000.0,2023,5789200000.0,-31.37%
IVZ,2020,6145600000.0,2023,5716400000.0,-6.98%
TIGO,2020,3805000000.0,2023,5661000000.0,48.78%
HBI,2020,6127161000.0,2023,5636523000.0,-8.01%
HOUS,2020,6221000000.0,2023,5636000000.0,-9.40%
CPRI,2021,4060000000.0,2023,5619000000.0,38.40%
COTY,2021,4629900000.0,2023,5554100000.0,19.96%
SNN,2020,4560000000.0,2023,5549000000.0,21.69%
DOYU,2020,9601873937.0,2023,5530404557.0,-42.40%
PTVE,2020,4689000000.0,2023,5510000000.0,17.51%
EVRG,2020,4913400000.0,2023,5508200000.0,12.11%
SEE,2020,4903200000.0,2023,5488900000.0,11.95%
JFIN,2020,1300160000.0,2023,5466873000.0,320.48%
GL,2020,4738555000.0,2023,5447533000.0,14.96%
SWX,2020,3298873000.0,2023,5433972000.0,64.72%
DAO,2020,2526806000.0,2023,5389208000.0,113.28%
RTO,2020,2803000000.0,2023,5375000000.0,91.76%
SAVE,2020,1810022000.0,2023,5362549000.0,196.27%
LW,2021,3670900000.0,2023,5350600000.0,45.76%
LINE,2021,3702000000.0,2023,5341500000.0,44.29%
HST,2020,1620000000.0,2023,5311000000.0,227.84%
AXTA,2020,3737600000.0,2023,5184100000.0,38.70%
TDS,2020,5225000000.0,2023,5160000000.0,-1.24%
FLO,2020,4387991000.0,2023,5090830000.0,16.02%
HLF,2020,5541800000.0,2023,5062400000.0,-8.65%
HAS,2020,5465400000.0,2023,5003300000.0,-8.46%
BTU,2020,2881100000.0,2023,4946700000.0,71.69%
KMPR,2020,5178700000.0,2023,4914700000.0,-5.10%
MMS,2020,3461537000.0,2023,4904728000.0,41.69%
YRD,2020,3961962000.0,2023,4895633000.0,23.57%
COMP,2020,3720800000.0,2023,4885000000.0,31.29%
KELYA,2020,4516000000.0,2023,4835700000.0,7.08%
KELYB,2020,4516000000.0,2023,4835700000.0,7.08%
AMC,2020,1242400000.0,2023,4812600000.0,287.36%
AMBP,2020,3451000000.0,2023,4812000000.0,39.44%
VAC,2020,2886000000.0,2023,4727000000.0,63.79%
LEG,2020,4280200000.0,2023,4725300000.0,10.40%
PNW,2020,3586982000.0,2023,4695991000.0,30.92%
EPAM,2020,2659478000.0,2023,4690540000.0,76.37%
BLMN,2020,3170561000.0,2023,4671470000.0,47.34%
ECX,2020,2241063000.0,2023,4666147000.0,108.21%
PRGO,2020,4088200000.0,2023,4655600000.0,13.88%
SNAP,2020,2506626000.0,2023,4606115000.0,83.76%
TTC,2020,3378810000.0,2023,4553200000.0,34.76%
LILA,2020,3764600000.0,2023,4511100000.0,19.83%
LILAK,2020,3764600000.0,2023,4511100000.0,19.83%
ILMN,2020,3239000000.0,2023,4504000000.0,39.06%
VTR,2020,3795357000.0,2023,4497827000.0,18.51%
FMC,2020,4642100000.0,2023,4486800000.0,-3.35%
OTEX,2021,3386115000.0,2023,4484980000.0,32.45%
G,2020,3709377000.0,2023,4476888000.0,20.69%
ELAN,2020,3271000000.0,2023,4417000000.0,35.04%
GHC,2020,2889121000.0,2023,4414877000.0,52.81%
LYFT,2020,2364681000.0,2023,4403589000.0,86.22%
ZM,2021,2651368000.0,2023,4392960000.0,65.69%
AS,2020,2446300000.0,2023,4368400000.0,78.57%
IAC,2020,2764536000.0,2023,4365235000.0,57.90%
WU,2020,4835000000.0,2023,4357000000.0,-9.89%
FDP,2020,4202300000.0,2023,4320700000.0,2.82%
FLS,2020,3728134000.0,2023,4320577000.0,15.89%
